link,target_absolute_phi_deg,initial_absolute_phi_deg,gic_step_deg,initial_QC_rad,initial_QS_rad,initial_q_rad,initial_CP_q2_angstrom,initial_CP_phi2_deg,initial_CP_x_angstrom,initial_CP_y_angstrom,start_pucker_label,start_pucker_phi_deg,start_pucker_mode,start_pucker_cartesian_phase_deg,start_pucker_q_angstrom,phase_convention,constraint_mode
21,200.0,296.4875552906885,-96.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
22,210.0,296.4875552906885,-86.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
23,220.0,296.4875552906885,-76.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
24,230.0,296.4875552906885,-66.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
25,240.0,296.4875552906885,-56.487555290688476,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
26,250.0,296.4875552906885,-46.487555290688476,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
27,260.0,296.4875552906885,-36.487555290688476,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
28,270.0,296.4875552906885,-26.487555290688476,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
29,280.0,296.4875552906885,-16.487555290688476,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
30,290.0,296.4875552906885,-6.487555290688476,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
31,300.0,296.4875552906885,3.5124447093115236,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
32,310.0,296.4875552906885,13.512444709311524,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
33,320.0,296.4875552906885,23.512444709311524,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
34,330.0,296.4875552906885,33.512444709311524,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
35,340.0,296.4875552906885,43.512444709311524,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
